transaction_id,account_id,product_id,transaction_type,amount,price,quantity,transaction_date,fee,status
TXN23567835,ACCT8221622,PROD1028,purchase,179574.81,5.3534,33544.07,2026-05-01 12:10:00,297.77,completed
TXN62023062,ACCT4286974,PROD1001,transfer_in,12255.49,6.3611,1926.63,2026-05-01 10:27:00,12.87,completed
TXN61020114,ACCT6894620,PROD1000,transfer_in,137105.62,1.7048,80423.29,2026-05-01 13:42:00,376.19,completed
TXN42301810,ACCT7961777,PROD1019,transfer_in,287041.54,2.2147,129607.41,2026-05-01 14:46:00,308.71,completed
TXN88277599,ACCT2567570,PROD1015,transfer_out,440538.03,3.8818,113488.08,2026-05-01 15:58:00,938.52,completed
TXN21816189,ACCT8762446,PROD1008,purchase,164716.21,1.1665,141205.5,2026-05-01 10:23:00,178.65,completed
TXN44063562,ACCT8256105,PROD1020,redemption,89830.96,8.5097,10556.3,2026-05-01 15:38:00,182.91,completed
TXN10125857,ACCT4019031,PROD1015,transfer_in,385846.46,7.1874,53683.73,2026-05-01 13:24:00,404.9,completed
TXN36173146,ACCT8863144,PROD1040,purchase,167626.38,1.3254,126472.3,2026-05-01 13:52:00,191.95,completed
TXN90524659,ACCT1286306,PROD1012,redemption,23876.59,5.4998,4341.36,2026-05-01 10:04:00,54.65,pending
TXN78170329,ACCT3709235,PROD1008,purchase,135543.85,8.7489,15492.67,2026-05-01 11:17:00,388.84,completed
TXN65838922,ACCT8360411,PROD1016,redemption,38104.73,3.7389,10191.43,2026-05-01 11:22:00,80.83,completed
TXN18478760,ACCT9723110,PROD1045,redemption,27561.48,4.5188,6099.29,2026-05-01 13:19:00,51.01,completed
TXN90955735,ACCT6008116,PROD1041,transfer_out,406066.94,4.7565,85370.95,2026-05-01 15:41:00,498.48,completed
TXN49398492,ACCT1135705,PROD1028,transfer_in,186623.73,3.4907,53463.12,2026-05-01 11:15:00,195.14,completed
TXN94675620,ACCT5493425,PROD1022,purchase,134198.99,3.9287,34158.62,2026-05-01 15:37:00,266.39,completed
TXN36355852,ACCT6614089,PROD1048,purchase,116215.01,4.6647,24913.72,2026-05-01 14:53:00,192.63,completed
TXN88215101,ACCT7846133,PROD1019,transfer_out,380212.97,7.5887,50102.52,2026-05-01 15:49:00,719.11,completed
TXN14461503,ACCT6270346,PROD1001,purchase,124753.77,2.3553,52967.25,2026-05-01 12:00:00,148.4,completed
TXN38706174,ACCT4443966,PROD1002,redemption,20889.28,9.2113,2267.79,2026-05-01 15:14:00,47.62,pending
TXN16399222,ACCT9221618,PROD1032,purchase,101118.05,8.5847,11778.87,2026-05-01 15:46:00,136.73,completed
TXN38536459,ACCT8438903,PROD1017,transfer_out,57627.06,4.203,13710.94,2026-05-01 09:11:00,89.98,completed
TXN94126028,ACCT8892162,PROD1045,dividend,6107.17,6.8088,896.95,2026-05-01 12:42:00,12.58,completed
TXN40800165,ACCT6857602,PROD1042,redemption,3205.11,3.828,837.28,2026-05-01 14:38:00,4.56,completed
TXN10393754,ACCT8209321,PROD1016,redemption,97519.98,2.5108,38840.2,2026-05-02 15:31:00,192.12,completed
TXN42760166,ACCT5612459,PROD1010,purchase,80063.14,4.7877,16722.67,2026-05-02 11:31:00,204.84,completed
TXN40991068,ACCT9570660,PROD1016,redemption,88733.37,3.5639,24897.83,2026-05-02 14:53:00,180.58,completed
TXN85170280,ACCT4196099,PROD1036,purchase,53568.03,3.3479,16000.49,2026-05-02 11:18:00,147.55,completed
TXN47240090,ACCT2674061,PROD1037,redemption,95357.36,8.1505,11699.57,2026-05-02 13:26:00,228.61,completed
TXN25550165,ACCT3138688,PROD1017,redemption,2520.01,9.5926,262.7,2026-05-02 11:41:00,5.3,completed
TXN15619412,ACCT2985881,PROD1006,transfer_in,40472.52,6.705,6036.17,2026-05-02 14:04:00,82.11,completed
TXN50564926,ACCT6220118,PROD1017,redemption,87280.14,5.651,15445.08,2026-05-02 11:33:00,206.77,completed
TXN84404236,ACCT5992110,PROD1000,purchase,31575.94,9.77,3231.93,2026-05-02 11:46:00,60.69,pending
TXN43341120,ACCT5266095,PROD1038,purchase,176107.65,4.2792,41154.34,2026-05-02 09:58:00,254.82,pending
TXN39972676,ACCT7846875,PROD1019,transfer_in,67068.46,5.2313,12820.61,2026-05-02 09:02:00,97.59,completed
TXN51145163,ACCT6718634,PROD1009,purchase,8953.48,5.7023,1570.15,2026-05-02 11:25:00,22.56,completed
TXN48100653,ACCT4178998,PROD1032,redemption,80908.21,8.4877,9532.41,2026-05-02 15:15:00,213.34,completed
TXN92784807,ACCT9998056,PROD1013,redemption,16437.45,7.1233,2307.56,2026-05-02 15:09:00,36.37,completed
TXN84313401,ACCT7233315,PROD1029,purchase,17631.42,6.7397,2616.05,2026-05-02 11:18:00,19.41,pending
TXN85126409,ACCT5307384,PROD1009,transfer_out,259017.24,6.4185,40354.79,2026-05-02 15:56:00,374.44,completed
TXN68374490,ACCT5237938,PROD1020,purchase,121274.91,6.227,19475.66,2026-05-02 12:49:00,248.17,completed
TXN27247374,ACCT7572205,PROD1017,transfer_out,49486.2,7.4944,6603.09,2026-05-02 14:22:00,103.42,completed
TXN93553182,ACCT3132101,PROD1006,redemption,83916.89,6.9294,12110.27,2026-05-02 14:51:00,110.43,completed
TXN86105847,ACCT4655508,PROD1004,redemption,74648.87,1.2103,61677.99,2026-05-02 14:44:00,223.16,completed
TXN62277436,ACCT3914359,PROD1034,purchase,69517.62,8.1543,8525.27,2026-05-03 10:30:00,94.97,completed
TXN66306675,ACCT1850639,PROD1049,purchase,122642.49,1.8719,65517.65,2026-05-03 14:48:00,274.2,completed
TXN28410510,ACCT9020413,PROD1041,purchase,160040.36,6.5997,24249.64,2026-05-03 09:19:00,424.91,completed
TXN49771517,ACCT8295932,PROD1030,purchase,89310.34,2.8749,31065.55,2026-05-03 14:18:00,135.5,completed
TXN24939940,ACCT5939720,PROD1038,transfer_in,21187.82,2.6441,8013.24,2026-05-03 09:08:00,23.34,pending
TXN68223970,ACCT9770882,PROD1034,dividend,1043.47,7.3596,141.78,2026-05-03 10:15:00,2.84,pending
TXN66705073,ACCT5287568,PROD1036,redemption,7497.38,2.4528,3056.66,2026-05-03 12:26:00,18.52,completed
TXN34787333,ACCT4467797,PROD1048,transfer_out,99906.47,8.7564,11409.54,2026-05-03 14:00:00,277.51,completed
TXN54184831,ACCT3537815,PROD1020,transfer_in,280989.89,5.085,55258.58,2026-05-03 12:52:00,437.38,completed
TXN40776269,ACCT8403961,PROD1004,redemption,93948.61,7.0583,13310.37,2026-05-03 13:25:00,275.5,completed
TXN68178889,ACCT5446141,PROD1042,purchase,85396.43,4.9612,17212.86,2026-05-03 11:29:00,212.73,completed
TXN81434110,ACCT5897258,PROD1040,transfer_out,338016.04,4.3351,77971.91,2026-05-03 11:46:00,345.47,completed
TXN73580635,ACCT5129709,PROD1034,purchase,60462.39,1.0059,60107.75,2026-05-03 12:04:00,74.62,completed
TXN84091819,ACCT3908956,PROD1023,redemption,71455.26,2.2127,32293.24,2026-05-03 11:19:00,81.06,completed
TXN32595933,ACCT9147369,PROD1038,purchase,165232.79,3.0322,54492.71,2026-05-03 12:33:00,428.65,completed
TXN39040358,ACCT3447004,PROD1028,redemption,69463.88,6.5932,10535.69,2026-05-03 12:01:00,189.16,completed
TXN91272593,ACCT8863144,PROD1029,redemption,53934.65,9.1432,5898.88,2026-05-03 14:18:00,55.7,completed
TXN79481105,ACCT1786526,PROD1034,redemption,5154.25,3.3464,1540.24,2026-05-03 15:09:00,12.79,completed
TXN48478821,ACCT1444366,PROD1041,redemption,50279.73,8.5191,5902.0,2026-05-03 10:27:00,53.95,completed
TXN85975382,ACCT2317417,PROD1036,redemption,37144.51,4.3764,8487.46,2026-05-03 09:58:00,96.95,completed
TXN86123748,ACCT2143759,PROD1036,purchase,155434.48,9.5562,16265.3,2026-05-04 13:54:00,251.79,completed
TXN37948474,ACCT5367709,PROD1000,purchase,68430.55,9.7741,7001.21,2026-05-04 12:36:00,186.41,completed
TXN49847445,ACCT2011729,PROD1009,redemption,30437.82,9.2051,3306.63,2026-05-04 13:46:00,60.23,completed
TXN71417463,ACCT8929123,PROD1017,purchase,141735.29,5.9498,23821.86,2026-05-04 15:19:00,239.08,completed
TXN14664836,ACCT2321232,PROD1000,redemption,28884.97,2.8636,10086.94,2026-05-04 10:26:00,76.29,completed
TXN54554294,ACCT6927830,PROD1041,transfer_out,480638.01,6.5477,73405.62,2026-05-04 09:33:00,1163.73,completed
TXN66118969,ACCT8029589,PROD1015,purchase,83529.25,9.9801,8369.58,2026-05-04 15:24:00,89.85,completed
TXN54049742,ACCT1419590,PROD1041,dividend,9597.34,6.8297,1405.24,2026-05-04 15:22:00,12.16,completed
TXN35727390,ACCT3307921,PROD1034,redemption,99224.18,8.6735,11439.92,2026-05-04 11:42:00,118.08,completed
TXN21832077,ACCT1412043,PROD1012,purchase,85284.39,9.1905,9279.62,2026-05-04 12:23:00,224.32,completed
TXN30815129,ACCT3309026,PROD1040,transfer_in,235912.08,7.4619,31615.55,2026-05-04 11:59:00,608.1,completed
TXN31577966,ACCT8724605,PROD1002,dividend,1697.94,2.4806,684.49,2026-05-04 15:21:00,3.26,completed
TXN83124277,ACCT3325300,PROD1045,transfer_in,95943.83,5.2703,18204.62,2026-05-04 13:10:00,101.94,completed
TXN34365614,ACCT7176314,PROD1027,redemption,73252.56,1.5938,45960.95,2026-05-04 15:59:00,211.99,completed
TXN81879170,ACCT7790149,PROD1016,redemption,36224.85,9.1844,3944.17,2026-05-04 14:07:00,61.6,completed
TXN98208174,ACCT6938510,PROD1037,transfer_out,331922.32,2.4637,134725.14,2026-05-04 15:35:00,526.89,completed
TXN69585205,ACCT6919352,PROD1006,redemption,25390.17,9.5032,2671.75,2026-05-04 09:40:00,35.87,completed
TXN52021986,ACCT8438903,PROD1012,purchase,19984.94,7.9744,2506.14,2026-05-04 12:48:00,48.05,completed
TXN29822598,ACCT8631863,PROD1008,purchase,136056.91,3.0231,45005.76,2026-05-04 12:29:00,377.84,completed
TXN47017827,ACCT2156809,PROD1034,purchase,128078.16,5.6113,22825.04,2026-05-04 14:33:00,263.4,pending
TXN56257176,ACCT1539873,PROD1038,purchase,57972.46,3.8237,15161.35,2026-05-04 13:40:00,147.58,completed
TXN20228676,ACCT1966014,PROD1015,redemption,1744.92,2.6404,660.85,2026-05-04 14:57:00,5.12,completed
TXN15198620,ACCT7078017,PROD1038,transfer_in,133066.31,9.2278,14420.16,2026-05-04 11:33:00,267.19,completed
TXN42055852,ACCT7065912,PROD1006,redemption,24055.7,6.8982,3487.24,2026-05-04 15:00:00,60.97,completed
TXN17271083,ACCT5081336,PROD1046,redemption,69989.25,8.3642,8367.72,2026-05-04 10:16:00,80.28,completed
TXN95214428,ACCT9628353,PROD1048,purchase,15774.79,7.2579,2173.46,2026-05-04 12:58:00,35.23,completed
TXN15792781,ACCT4210385,PROD1040,transfer_in,136465.3,5.133,26585.88,2026-05-04 11:03:00,402.41,pending
TXN98110606,ACCT2970786,PROD1038,redemption,55415.83,5.8561,9462.92,2026-05-04 14:49:00,79.25,completed
TXN68283487,ACCT6314896,PROD1045,purchase,31892.77,3.0721,10381.42,2026-05-04 12:41:00,54.48,completed
TXN43536446,ACCT3222334,PROD1028,redemption,93238.74,5.9158,15760.97,2026-05-04 12:58:00,186.76,failed
TXN14071044,ACCT4987772,PROD1032,dividend,5492.23,6.6436,826.69,2026-05-04 12:10:00,15.34,completed
TXN26912763,ACCT1033745,PROD1023,transfer_in,498698.13,6.591,75663.5,2026-05-04 13:51:00,1367.67,completed
TXN74042039,ACCT7861668,PROD1000,purchase,193894.79,2.8169,68832.68,2026-05-04 11:08:00,307.39,completed
TXN13071204,ACCT8724605,PROD1032,purchase,9337.82,6.9367,1346.15,2026-05-04 13:48:00,11.92,completed
TXN80662317,ACCT8190312,PROD1000,redemption,95599.9,9.2877,10293.17,2026-05-04 11:10:00,199.21,completed
TXN38533218,ACCT2931936,PROD1016,transfer_in,318656.06,8.9148,35744.61,2026-05-04 11:48:00,612.43,completed
TXN26261216,ACCT2226055,PROD1002,transfer_out,258135.78,8.8244,29252.5,2026-05-04 12:51:00,521.05,completed
TXN73702352,ACCT8749807,PROD1010,transfer_in,169059.2,6.1237,27607.36,2026-05-04 12:47:00,455.91,completed
TXN82153873,ACCT6190121,PROD1037,transfer_in,451850.74,3.4402,131344.32,2026-05-04 15:10:00,586.82,completed
TXN33453654,ACCT6871699,PROD1029,transfer_out,84666.54,9.6945,8733.46,2026-05-04 13:59:00,207.87,completed
TXN87851923,ACCT5901074,PROD1023,purchase,114334.53,7.4621,15322.03,2026-05-05 14:20:00,151.34,completed
TXN35462166,ACCT6666034,PROD1006,transfer_in,185734.97,5.3594,34655.93,2026-05-05 10:15:00,506.29,completed
TXN39336538,ACCT5481585,PROD1032,redemption,43083.57,3.077,14001.81,2026-05-05 15:16:00,113.22,completed
TXN28832806,ACCT1880267,PROD1040,redemption,74545.29,9.4777,7865.34,2026-05-05 12:04:00,143.84,completed
TXN39170976,ACCT9704922,PROD1010,redemption,85073.35,5.9215,14366.86,2026-05-05 10:35:00,173.94,completed
TXN42988649,ACCT7621135,PROD1013,purchase,198276.04,8.0304,24690.68,2026-05-05 11:00:00,201.5,completed
TXN43085972,ACCT4196099,PROD1006,transfer_in,113010.8,5.0609,22330.18,2026-05-05 14:49:00,155.66,completed
TXN65032120,ACCT6898801,PROD1004,purchase,199644.98,6.5579,30443.43,2026-05-05 13:24:00,454.71,completed
TXN73489680,ACCT8400814,PROD1046,transfer_out,402554.82,4.022,100088.22,2026-05-05 11:37:00,529.96,completed
TXN39933480,ACCT9814983,PROD1006,purchase,73452.48,7.2074,10191.26,2026-05-05 14:37:00,118.75,completed
TXN22479141,ACCT1380689,PROD1008,transfer_out,213934.5,7.4207,28829.42,2026-05-05 10:19:00,386.67,completed
TXN25760883,ACCT4335497,PROD1012,transfer_in,396079.87,2.7284,145169.28,2026-05-05 11:08:00,719.03,pending
TXN55636480,ACCT6559644,PROD1016,redemption,24924.61,4.1704,5976.55,2026-05-05 15:00:00,34.85,completed
TXN55272715,ACCT5797184,PROD1042,redemption,70877.15,8.0612,8792.38,2026-05-05 14:55:00,71.61,completed
TXN24793810,ACCT6756087,PROD1009,purchase,195441.24,9.2555,21116.23,2026-05-05 14:03:00,465.55,completed
TXN27886777,ACCT1099652,PROD1028,purchase,30183.67,3.6263,8323.54,2026-05-05 15:42:00,84.38,completed
TXN90621331,ACCT8322488,PROD1045,redemption,1790.99,1.0529,1701.01,2026-05-05 09:22:00,4.27,pending
TXN25135904,ACCT9403749,PROD1019,transfer_in,120555.1,8.2466,14618.76,2026-05-05 15:00:00,220.7,completed
TXN65402331,ACCT5777503,PROD1023,redemption,56023.52,2.7401,20445.79,2026-05-05 15:13:00,137.6,completed
TXN44411365,ACCT6192482,PROD1048,purchase,149872.83,5.5176,27162.68,2026-05-05 11:34:00,167.66,completed
TXN97183055,ACCT6324115,PROD1027,redemption,50838.76,9.6349,5276.52,2026-05-05 11:27:00,125.19,completed
TXN79141810,ACCT1928252,PROD1023,transfer_in,250874.81,5.9859,41910.96,2026-05-05 12:25:00,539.42,completed
TXN28970114,ACCT5863976,PROD1032,transfer_in,491295.28,7.6459,64256.04,2026-05-05 13:48:00,922.95,completed
TXN46000738,ACCT5097361,PROD1037,purchase,23661.08,1.2914,18322.04,2026-05-05 15:41:00,64.52,completed
TXN86470457,ACCT4192660,PROD1020,purchase,99316.62,4.4907,22116.07,2026-05-05 11:30:00,142.52,completed
TXN88920871,ACCT9108767,PROD1013,transfer_in,284054.71,4.0152,70744.85,2026-05-05 13:42:00,534.37,completed
TXN94657312,ACCT1572245,PROD1028,transfer_out,243489.15,3.3789,72061.66,2026-05-05 09:09:00,556.28,completed
TXN51962609,ACCT7978963,PROD1022,redemption,7735.89,2.1148,3657.98,2026-05-05 14:10:00,20.04,completed
TXN60776498,ACCT9392230,PROD1010,redemption,13763.12,8.2631,1665.61,2026-05-05 12:40:00,19.15,completed
TXN75474372,ACCT2714254,PROD1009,redemption,10162.43,9.8404,1032.73,2026-05-05 11:41:00,19.94,completed
TXN28554378,ACCT5400961,PROD1042,transfer_in,268192.15,2.3279,115207.76,2026-05-05 15:12:00,613.27,completed
TXN43373202,ACCT2011729,PROD1010,redemption,52261.85,7.086,7375.37,2026-05-05 09:10:00,71.4,completed
TXN82025584,ACCT5266095,PROD1037,purchase,20948.65,1.8798,11144.08,2026-05-05 14:42:00,61.65,completed
TXN19656558,ACCT3309026,PROD1032,purchase,66003.21,1.1788,55991.86,2026-05-05 12:59:00,95.57,completed
TXN22790524,ACCT3292289,PROD1008,redemption,81670.29,2.8953,28207.89,2026-05-05 09:59:00,194.5,completed
TXN68429901,ACCT6220118,PROD1009,redemption,94074.6,2.5862,36375.61,2026-05-05 14:25:00,193.05,completed
TXN51485967,ACCT3773910,PROD1040,redemption,81570.63,5.0912,16021.89,2026-05-05 10:29:00,102.75,completed
TXN17322332,ACCT7518757,PROD1012,redemption,15998.78,2.5705,6224.0,2026-05-05 09:45:00,47.0,completed
TXN65183361,ACCT6008116,PROD1006,purchase,62808.78,1.4703,42718.34,2026-05-05 14:53:00,117.28,completed
TXN81169240,ACCT3148403,PROD1032,redemption,97843.2,5.5762,17546.57,2026-05-05 15:13:00,163.58,completed
TXN76063689,ACCT9605805,PROD1027,purchase,98374.03,1.8872,52126.98,2026-05-06 13:27:00,104.41,completed
TXN21505425,ACCT3618018,PROD1042,transfer_in,12384.9,4.83,2564.16,2026-05-06 15:23:00,13.69,completed
TXN55354701,ACCT8467645,PROD1022,purchase,182327.12,8.8496,20602.87,2026-05-06 14:30:00,315.13,completed
TXN93316941,ACCT9586852,PROD1004,transfer_out,252496.44,5.1389,49134.34,2026-05-06 09:02:00,325.91,completed
TXN44281760,ACCT7138978,PROD1010,purchase,119216.71,4.0441,29479.17,2026-05-06 13:49:00,343.98,pending
TXN10807600,ACCT4210066,PROD1049,purchase,116919.27,9.0549,12912.27,2026-05-06 12:40:00,342.8,pending
TXN69506913,ACCT9616515,PROD1029,transfer_out,239424.52,4.7426,50483.81,2026-05-06 13:59:00,254.46,completed
TXN13043293,ACCT1314995,PROD1004,purchase,191433.53,6.7254,28464.26,2026-05-06 12:48:00,432.59,completed
TXN69979381,ACCT9876581,PROD1006,purchase,66443.06,7.988,8317.86,2026-05-06 13:16:00,136.09,completed
TXN12811383,ACCT1341927,PROD1001,purchase,116969.25,9.5026,12309.18,2026-05-06 09:18:00,208.43,completed
TXN53495748,ACCT8360411,PROD1004,redemption,78424.37,3.2228,24334.23,2026-05-06 10:43:00,130.57,completed
TXN34112802,ACCT9605805,PROD1009,purchase,164088.29,8.5942,19092.91,2026-05-06 09:30:00,435.49,completed
TXN33385759,ACCT6910565,PROD1016,redemption,62483.93,4.8945,12766.15,2026-05-06 09:56:00,119.6,completed
TXN65543526,ACCT7654781,PROD1002,transfer_out,81074.78,1.238,65488.51,2026-05-06 11:20:00,156.14,failed
TXN18971011,ACCT6913832,PROD1000,purchase,150584.08,9.4935,15861.81,2026-05-06 13:33:00,275.2,pending
TXN26965137,ACCT5283077,PROD1010,transfer_out,80574.28,2.5427,31688.47,2026-05-06 09:16:00,185.16,pending
TXN50232076,ACCT6350509,PROD1045,transfer_in,471570.47,2.6175,180160.64,2026-05-06 12:23:00,1391.9,completed
TXN92435074,ACCT2450556,PROD1048,purchase,21421.13,1.7719,12089.36,2026-05-06 10:12:00,52.92,pending
TXN25235794,ACCT3127112,PROD1009,purchase,7112.84,1.1093,6412.01,2026-05-06 10:24:00,10.78,completed
TXN87386327,ACCT4368621,PROD1016,purchase,6528.46,9.0113,724.47,2026-05-06 14:03:00,10.13,completed
TXN75337719,ACCT1146642,PROD1022,transfer_in,193975.72,6.1414,31584.94,2026-05-06 12:30:00,347.12,failed
TXN79335794,ACCT9221618,PROD1010,redemption,37927.17,3.895,9737.4,2026-05-06 12:26:00,45.84,completed
TXN50161621,ACCT8176773,PROD1040,transfer_in,127605.6,7.969,16012.75,2026-05-06 15:32:00,177.37,completed
TXN98310667,ACCT6220118,PROD1022,purchase,156368.22,6.2363,25073.88,2026-05-06 09:11:00,216.74,completed
TXN23170366,ACCT2216901,PROD1017,redemption,34814.29,9.3618,3718.76,2026-05-06 10:42:00,40.85,completed
TXN68225685,ACCT1905070,PROD1013,purchase,137296.99,6.6003,20801.63,2026-05-06 15:12:00,362.42,failed
TXN11597920,ACCT3516574,PROD1017,purchase,50976.42,1.0819,47117.5,2026-05-06 15:13:00,78.44,completed
TXN47809207,ACCT2654240,PROD1027,purchase,131190.75,8.3979,15621.85,2026-05-06 09:25:00,349.67,completed
TXN19341152,ACCT5854478,PROD1045,transfer_out,379389.12,2.2112,171576.12,2026-05-06 12:40:00,755.84,completed
TXN64680773,ACCT9488412,PROD1041,redemption,97670.74,9.7866,9980.05,2026-05-06 09:17:00,276.71,completed
TXN94592889,ACCT6938510,PROD1048,transfer_in,234566.0,3.5987,65180.76,2026-05-06 11:01:00,587.43,completed
TXN83019359,ACCT6985682,PROD1023,transfer_out,376175.85,6.2378,60305.85,2026-05-06 14:37:00,836.86,completed
TXN98123683,ACCT7824843,PROD1010,redemption,88110.35,9.2405,9535.24,2026-05-06 09:19:00,260.54,completed
TXN69955058,ACCT6871699,PROD1001,redemption,82022.87,5.6086,14624.48,2026-05-06 13:34:00,87.28,completed
TXN76362593,ACCT5144385,PROD1010,redemption,63145.94,4.9309,12806.17,2026-05-06 12:07:00,98.16,completed
TXN78521672,ACCT7145799,PROD1049,transfer_in,20674.11,4.631,4464.29,2026-05-06 15:03:00,30.44,completed
TXN75692823,ACCT7352612,PROD1028,transfer_in,374579.43,9.2809,40360.25,2026-05-06 10:10:00,1013.86,completed
TXN80410151,ACCT5671695,PROD1037,purchase,26772.44,4.5722,5855.48,2026-05-06 10:39:00,67.44,completed
TXN73912460,ACCT9471437,PROD1023,redemption,33744.22,1.7065,19773.93,2026-05-06 15:07:00,84.86,completed
TXN35109021,ACCT7763603,PROD1038,transfer_in,405917.35,6.5322,62140.99,2026-05-06 12:30:00,1059.24,completed
TXN98849274,ACCT8331552,PROD1038,transfer_in,499683.16,3.482,143504.64,2026-05-07 10:09:00,928.13,completed
TXN43739147,ACCT7961777,PROD1015,redemption,27866.06,6.0227,4626.84,2026-05-07 15:23:00,46.83,completed
TXN66626705,ACCT1395276,PROD1037,purchase,78641.8,8.4453,9311.9,2026-05-07 09:45:00,104.55,completed
TXN85686561,ACCT1995693,PROD1032,redemption,4085.88,2.3089,1769.62,2026-05-07 12:54:00,4.55,completed
TXN21285864,ACCT2505302,PROD1019,purchase,35849.97,7.9125,4530.8,2026-05-07 10:37:00,49.89,completed
TXN24528040,ACCT8801818,PROD1029,transfer_in,481135.21,8.793,54717.98,2026-05-07 09:43:00,1415.73,completed
TXN36228743,ACCT7597027,PROD1030,redemption,83764.21,5.0272,16662.2,2026-05-07 09:58:00,232.42,completed
TXN64583625,ACCT4983052,PROD1019,transfer_in,460382.4,4.0826,112766.96,2026-05-07 14:50:00,1093.19,completed
TXN52990797,ACCT5863976,PROD1049,purchase,73214.7,7.9036,9263.46,2026-05-07 13:57:00,215.14,completed
TXN93236743,ACCT6805318,PROD1022,purchase,102259.48,6.2566,16344.26,2026-05-07 15:53:00,142.34,completed
TXN82528841,ACCT6426438,PROD1006,redemption,31004.27,7.1087,4361.45,2026-05-07 09:48:00,45.46,completed
TXN65573376,ACCT6457634,PROD1000,transfer_out,374836.21,9.7354,38502.39,2026-05-07 11:46:00,580.55,completed
TXN91213536,ACCT4459827,PROD1015,purchase,33966.47,3.1578,10756.37,2026-05-07 12:34:00,36.65,completed
TXN66937920,ACCT2385065,PROD1037,redemption,7807.33,2.7789,2809.5,2026-05-07 11:52:00,17.98,completed
TXN79288155,ACCT5926374,PROD1000,purchase,18852.26,4.2715,4413.5,2026-05-07 11:58:00,35.9,pending
TXN18635949,ACCT6942946,PROD1002,purchase,68576.63,2.1963,31223.71,2026-05-07 13:03:00,98.8,completed
TXN84929534,ACCT7480746,PROD1028,redemption,92717.86,6.069,15277.29,2026-05-07 14:14:00,225.36,completed
TXN20445229,ACCT7334042,PROD1029,purchase,190274.84,4.552,41800.27,2026-05-07 12:58:00,394.26,completed
TXN18051794,ACCT6198386,PROD1032,purchase,193478.26,5.2098,37137.37,2026-05-07 10:34:00,264.11,completed
TXN98382982,ACCT6339455,PROD1001,purchase,189077.64,4.1603,45448.08,2026-05-07 11:09:00,306.59,completed
TXN60034988,ACCT7031772,PROD1045,transfer_out,249691.34,1.7984,138840.83,2026-05-07 12:34:00,620.06,pending
TXN53676208,ACCT7789332,PROD1037,redemption,16091.3,7.1795,2241.28,2026-05-07 09:01:00,39.98,completed
TXN90077736,ACCT7609521,PROD1042,dividend,198.68,9.3819,21.18,2026-05-07 15:51:00,0.2,pending
TXN73043780,ACCT7861668,PROD1034,purchase,69986.23,5.6679,12347.82,2026-05-07 09:44:00,123.46,pending
TXN27241599,ACCT9403749,PROD1032,purchase,191667.22,7.0708,27106.86,2026-05-07 12:19:00,550.5,completed
TXN84487262,ACCT2226055,PROD1034,redemption,27159.43,6.1863,4390.25,2026-05-07 13:44:00,31.29,completed
TXN79533501,ACCT2394460,PROD1002,transfer_out,198118.17,9.7803,20256.86,2026-05-07 15:56:00,581.77,completed
TXN67389655,ACCT3685864,PROD1048,transfer_in,46226.97,5.7913,7982.14,2026-05-07 10:54:00,101.75,completed
TXN47720009,ACCT4974455,PROD1027,purchase,111658.11,6.8889,16208.41,2026-05-07 11:31:00,317.09,completed
TXN96659027,ACCT5671695,PROD1015,dividend,2445.03,8.6154,283.8,2026-05-07 12:49:00,7.26,completed
